,TWEET,USER NAME,USER LOCATION
65,RT @SCCTradingCards: 🆕 NOW RELEASED: 2020-21 Panini Obsidian Basketball! Look for two autographs and two insert or parallel cards per box o…,SCCTradingCards,"Pittsburgh, PA"
66,#Q #confidence #mindset #mentor #coach #leadership #blasianbadasspodcast #nba #reels #reelsinstagram #reelsvideo… https://t.co/NjdLO5priC,thblasianbadass,All comments are my own
67,"Slashing aint dead. These boys just scared. #PS5Share, #NBA2K22 #Slasher #2k22 #NBA #2k #PS5 #Twitch #Streamer https://t.co/brg5TQNCI1",3PeatPo,Where I need to Be
68,NBA players refusing to get vaxxed should get the boot. That’s according to Kareem Abdul-Jabbar in response to a Ro… https://t.co/GrpKVXFZ6C,CreatorNews_,
69,The #NBA can't help themselves. They'll do whatever it takes to make players that use their democratic freedom of r… https://t.co/2M0NyWXkK2,TG_Interrupted,
70,"@swish41 watching some amazing footage of the finals win. As a European basketball player and fan, you are such a s… https://t.co/lCq03tT1qI",Sartori_Ally,Edinburgh
71,"RT @ScottyDrowned: The season 2 premier of Scotty Talks NBA…. Coming, next Monday we’re getting to it 😈 

- Ben Simmons update 🙄
- How can…",ThomasGoatnba,
72,@BobbyMarks42 Here is one example that is dumber. Even dumber.. Unvaccinated players need to sit in isolated areas… https://t.co/jDH2v62GeA,Netsfan1972,
73,"RT @ScottyDrowned: Been seeing a lot of people put the #Sixers as a 5 or 6 seed in the EC…. 

3 things they’re not accounting for: 

- Embi…",ThomasGoatnba,
74,@ClubShayShay @MarkJackson13 Enjoyed this interview. Its shameful @MarkJackson13 isn't coaching in the #nba @nba… https://t.co/nHZSa1A4nc,timetravelmoney,
75,—Communications: RT. #westchesterknicks #gleague #nbagleague #watchusrise #nextisnow #nba #ballislife #hoops [… https://t.co/bLlZEiFiFX,thebreaksong,
76,RT @jshector: Why are some of y'all acting surprised by the #NBA statement on players who don't comply with local vaxx mandates not being p…,SimplyCarla7,ATL
77,"New Orleans #Pelicans: Back to School Vibes 

More First Day photos with ... 
 
https://t.co/RlfUfatAwi… https://t.co/UQeQv3lGyo",raw_chili,
78,Anothony davis gotta keep driving to the hole they cant stop that #nba #NBATwitter - Lil B,ShelbyPetrucci,
79,"4-Time Vegas Handicapping Champion, Ron Raymond, has finally made his golden goose public!!… https://t.co/BTGFNTTNed",makemoneyhandi1,"Las Vegas, NV"
