,TWEET,USER NAME,USER LOCATION
79,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,bigdouglasshow,
80,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,dynasty_lounge,
81,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,Ashley_Easton14,
82,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,Broadwayhatpod,"New York, New York "
83,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,vegasfeverpod,
84,"📣 New Podcast! ""The Good, The Bad, &amp; The Abysmal"" on @Spreaker #aaron #aces #bears #brady #buccs #cardinals #irving… https://t.co/xcbK6SNzMO",Jrosalye,"Phoenix, Arizona"
85,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,StephenBurton86,Tennessee
86,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,marcus5251962,Planet Mars. New resident... 
87,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,LVBenchWarmers,Las Vegas
88,"#kyrie 
Meer dan twintig doden door rellen in gevangenis Ecuador - https://t.co/bYVVomr4EG",Epafras_nl,Utrecht
89,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,AdamRaymer11,"Spring Hill, TN"
90,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,FIToday_,Fantasy Impact Today Studios
91,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,MikePrE57,"Chicago, IL"
92,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,NothinBtAirtime,"Milwaukee, WI"
